,year,office_consolidated,vote_share,winner,incumbent,pid_est,gender_est,race_est,loser,incumbent_win,incumbent_lose,random
84742,2011,Mayor,0.18,0,0,Unknown,Unknown,Caucasian,1,0,1,0.08826674591
25171,2020,Mayor,0.29,0,0,Republican,Male,Asian,1,0,1,0.9279230077
31549,2005,Mayor,0.44,0,0,Republican,Female,Caucasian,1,0,1,0.8603215317
3222,2005,Mayor,0.47,0,0,Democrat,Male,Black,1,0,1,0.493234347
113583,2007,Mayor,0.01,0,0,Unknown,Male,Caucasian,1,0,1,0.5501866303
87336,1999,Mayor,0.82,1,0,Unknown,Male,Caucasian,0,0,1,0.9593303448
72291,2009,Mayor,0.18,0,0,Democrat,Female,Caucasian,1,0,1,0.02437975014
35071,2011,Mayor,0.5,0,1,Democrat,Male,Caucasian,1,0,1,0.5951145711
94046,2012,Mayor,0.04,0,0,Republican,Male,Caucasian,1,0,1,0.7760209752
31541,2005,Mayor,0.64,1,1,Democrat,Male,Caucasian,0,1,0,0.06950563146
51079,2007,Mayor,0.42,0,1,Republican,Male,Caucasian,1,0,1,0.5257311619
28755,2019,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0,0.7032860866
6641,2012,Mayor,0.34,0,0,Republican,Unknown,Black,1,0,1,0.4281177062
46926,2003,Mayor,0.48,0,1,Republican,Male,Caucasian,1,0,1,0.8295874299
85903,1993,Mayor,0.53,1,0,Republican,Female,Caucasian,0,0,1,0.7625239353
1639,2004,Mayor,0.35,1,1,Republican,Male,Caucasian,0,1,0,0.4362914378
68475,2003,Mayor,0.93,1,1,Democrat,Male,Caucasian,0,1,0,0.3992445133
36893,2020,Mayor,0.52,1,0,Democrat,Female,Hispanic,0,0,1,0.6432243203
35367,2009,Mayor,0.57,1,0,Democrat,Female,Caucasian,0,0,1,0.9576406209
74431,2009,Mayor,0.33,0,0,Republican,Male,Caucasian,1,0,1,0.8121568902
60270,1996,Mayor,0.07,0,0,Democrat,Male,Caucasian,1,0,1,0.8607258175
40180,2012,Mayor,0.65,1,1,Democrat,Female,Caucasian,0,1,0,0.9688071308
82984,1999,Mayor,0.38,1,0,Democrat,Male,Caucasian,0,0,1,0.8451506232
120688,2006,Mayor,0.01,0,0,Unknown,Male,Caucasian,1,0,1,0.5819056709
123004,2001,Mayor,0,0,0,Unknown,Male,Caucasian,1,0,1,0.5125420482
72052,1997,Mayor,0,0,0,Unknown,Female,Hispanic,1,0,1,0.7716864102
36266,2003,Mayor,0.51,1,0,Democrat,Male,Hispanic,0,0,1,0.2674197431
78848,2008,Mayor,0.15,0,0,Democrat,Male,Caucasian,1,0,1,0.4637869345
51360,2009,Mayor,0.54,1,0,Democrat,Male,Hispanic,0,0,1,0.2411104524
66698,1997,Mayor,0.21,0,0,Democrat,Male,Caucasian,1,0,1,0.4474946816
33512,1993,Mayor,0.59,1,0,Republican,Male,Caucasian,0,0,1,0.2660369382
15911,2006,Mayor,0.46,0,0,Republican,Male,Caucasian,1,0,1,0.4006876913
123100,2003,Mayor,0,0,0,Republican,Male,Caucasian,1,0,1,0.55941164
66256,2021,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0,0.6969501396
32400,1998,Mayor,0.4,0,1,Republican,Male,Black,1,0,1,0.8717891546
26849,2014,Mayor,0.43,0,0,Democrat,Female,Caucasian,1,0,1,0.7805772957
47771,1998,Mayor,0.5,1,0,Unknown,Male,Caucasian,0,0,1,0.5293215572
8456,2010,Mayor,0.33,1,0,Democrat,Female,Asian,0,0,1,0.4780276456
33707,2005,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.07723521113
37129,2017,Mayor,0.26,0,0,Democrat,Male,Caucasian,1,0,1,0.28346752
123576,2003,Mayor,0,0,0,Unknown,Unknown,Caucasian,1,0,1,0.3474538212
93790,1993,Mayor,0.26,0,0,Unknown,Male,Caucasian,1,0,1,0.2131389648
50250,2012,Mayor,0.19,0,0,Unknown,Male,Caucasian,1,0,1,0.4100002199
60284,2021,Mayor,0.62,1,0,Democrat,Male,Caucasian,0,0,1,0.6482533411
8978,2017,Mayor,0.6,1,0,Democrat,Female,Black,0,0,1,0.4135124958
62759,1995,Mayor,0.51,1,1,Democrat,Male,Caucasian,0,1,0,0.8869735267
30461,2002,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.1157317797
43786,2007,Mayor,0.06,0,0,Democrat,Male,Caucasian,1,0,1,0.1889329873
125,2009,Mayor,0.46,0,0,Unknown,Male,Black,1,0,1,0.494101044
52879,2001,Mayor,0.64,1,0,Democrat,Male,Caucasian,0,0,1,0.5349078584
33390,2013,Mayor,0.84,1,0,Democrat,Female,Caucasian,0,0,1,0.206730517
111619,2013,Mayor,0,0,0,Republican,Male,Caucasian,1,0,1,0.3320881703
27322,2008,Mayor,0.37,0,0,Democrat,Male,Caucasian,1,0,1,0.5451284035
52092,2003,Mayor,0.48,0,0,Democrat,Male,Hispanic,1,0,1,0.8924000434
113782,1999,Mayor,0.06,0,0,Unknown,Male,Caucasian,1,0,1,0.5355867245
2338,1999,Mayor,0.6,1,1,Democrat,Male,Black,0,1,0,0.7961385001
2116,1999,Mayor,0.67,1,1,Democrat,Male,Black,0,1,0,0.8623979969
115640,2018,Mayor,0.05,0,0,Democrat,Female,Caucasian,1,0,1,0.6525431467
83818,2017,Mayor,1,1,1,Democrat,Male,Caucasian,0,1,0,0.6127258406
81864,2009,Mayor,0.25,0,0,Unknown,Male,Caucasian,1,0,1,0.2877669424
115614,2010,Mayor,0.02,0,0,Republican,Male,Caucasian,1,0,1,0.4926616679
20265,2013,Mayor,0.79,1,1,Democrat,Male,Caucasian,0,1,0,0.8619596407
26999,2008,Mayor,0.78,1,1,Republican,Male,Caucasian,0,1,0,0.102585913
59982,2021,Mayor,0.35,0,0,Republican,Male,Caucasian,1,0,1,0.7520454546
30937,1997,Mayor,0.22,0,0,Democrat,Male,Caucasian,1,0,1,0.2563648216
81631,2006,Mayor,0.22,0,0,Democrat,Male,Black,1,0,1,0.474476583
98022,2015,Mayor,0.04,0,0,Democrat,Male,Black,1,0,1,0.8052198863
45943,2018,Mayor,0.29,0,0,Democrat,Male,Asian,1,0,1,0.2801737751
114171,2013,Mayor,0.04,0,0,Republican,Male,Caucasian,1,0,1,0.3085054051
63642,2014,Mayor,0.29,0,0,Democrat,Female,Caucasian,1,0,1,0.9775287718
14017,2010,Mayor,0.64,1,1,Democrat,Male,Asian,0,1,0,0.4584364179
98109,2011,Mayor,0.07,0,0,Republican,Male,Black,1,0,1,0.7523757616
50754,2000,Mayor,0.36,0,0,Republican,Male,Caucasian,1,0,1,0.8954738022
24306,1999,Mayor,0.79,1,1,Republican,Male,Caucasian,0,1,0,0.3079954865
76840,2018,Mayor,0.55,1,0,Republican,Female,Caucasian,0,0,1,0.880163233
23530,1997,Mayor,0.53,1,1,Republican,Male,Hispanic,0,1,0,0.1733821325
29710,2010,Mayor,0.69,1,1,Republican,Female,Caucasian,0,1,0,0.8534364176
61972,2005,Mayor,0.4,0,0,Democrat,Male,Black,1,0,1,0.982183873
68585,2006,Mayor,0.32,0,0,Republican,Male,Caucasian,1,0,1,0.8115366599
50956,2002,Mayor,0.72,1,0,Republican,Male,Caucasian,0,0,1,0.4440595057
49676,2016,Mayor,0.04,0,0,Republican,Male,Caucasian,1,0,1,0.4377712995
4974,2018,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1,0.4789297699
108794,2013,Mayor,0,0,0,Republican,Female,Caucasian,1,0,1,0.3182925449
49221,2019,Mayor,0.47,0,0,Democrat,Male,Black,1,0,1,0.005130113036
108460,2021,Mayor,0.04,0,0,Unknown,Unknown,Black,1,0,1,0.2732587189
98841,2002,Mayor,0.08,0,0,Democrat,Male,Hispanic,1,0,1,0.4352949449
40082,2021,Mayor,0.67,1,0,Democrat,Male,Black,0,0,1,0.7613525273
106698,2011,Mayor,0.13,0,0,Republican,Male,Caucasian,1,0,1,0.3875581374
30766,2011,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0,0.5711758066
34759,2015,Mayor,0.53,1,0,Republican,Male,Caucasian,0,0,1,0.1410972782
64899,1999,Mayor,0.06,0,0,Republican,Male,Caucasian,1,0,1,0.1570714106
101164,2002,Mayor,0.14,0,0,Republican,Male,Caucasian,1,0,1,0.209061934
66761,2014,Mayor,0.49,0,0,Republican,Male,Caucasian,1,0,1,0.2721389536
60077,2017,Mayor,0.57,1,0,Republican,Female,Caucasian,0,0,1,0.1515180603
11997,2005,Mayor,0.67,1,0,Democrat,Male,Caucasian,0,0,1,0.2134306662
29986,2003,Mayor,0.59,1,1,Democrat,Male,Caucasian,0,1,0,0.5673444669
43215,2005,Mayor,1,1,1,Democrat,Male,Caucasian,0,1,0,0.4424835177
121714,2017,Mayor,0.02,0,0,Democrat,Male,Caucasian,1,0,1,0.5762888775
18641,2010,Mayor,0.84,1,1,Republican,Male,Caucasian,0,1,0,0.450533896
122355,2005,Mayor,0.01,0,0,Democrat,Female,Caucasian,1,0,1,0.09801650968
69891,2004,Mayor,0.3,0,0,Unknown,Female,Caucasian,1,0,1,0.07716513463
9948,2008,Mayor,0.85,1,1,Democrat,Male,Caucasian,0,1,0,0.7494679715
71984,2016,Mayor,0.06,0,0,Republican,Female,Caucasian,1,0,1,0.5920802754
101236,2006,Mayor,0.41,1,0,Democrat,Male,Caucasian,0,0,1,0.188820447
96441,2015,Mayor,0.05,0,0,Democrat,Male,Caucasian,1,0,1,0.4436128623
57360,2015,Mayor,0.87,1,1,Democrat,Male,Caucasian,0,1,0,0.5355739501
42486,2021,Mayor,0.46,0,0,Republican,Male,Black,1,0,1,0.8490623107
122967,2017,Mayor,0.01,0,0,Republican,Male,Hispanic,1,0,1,0.971645023
69095,1998,Mayor,0.29,0,0,Democrat,Male,Caucasian,1,0,1,0.2386594511
104180,2013,Mayor,0.07,0,0,Republican,Male,Caucasian,1,0,1,0.4858523086
43428,1999,Mayor,0.49,1,0,Democrat,Male,Caucasian,0,0,1,0.807754563
121825,2019,Mayor,0.01,0,0,Democrat,Male,Hispanic,1,0,1,0.7499544693
79157,1995,Mayor,0.33,0,0,Democrat,Female,Black,1,0,1,0.1246187765
104063,2001,Mayor,0.18,0,0,Democrat,Male,Caucasian,1,0,1,0.4227084282
45194,2006,Mayor,0.47,0,0,Democrat,Male,Hispanic,1,0,1,0.3811302868
48040,2009,Mayor,0.74,1,1,Democrat,Male,Caucasian,0,1,0,0.4616380685
79716,1995,Mayor,0.11,0,0,Democrat,Male,Caucasian,1,0,1,0.6607770542
39726,1993,Mayor,0.52,1,0,Democrat,Female,Caucasian,0,0,1,0.8008482829
66711,2013,Mayor,0.27,0,0,Democrat,Male,Caucasian,1,0,1,0.6861632356
107272,2015,Mayor,0.13,0,0,Republican,Male,Hispanic,1,0,1,0.6259189308
118423,1999,Mayor,0.02,0,0,Republican,Male,Black,1,0,1,0.2530084104
68144,2009,Mayor,0.5,0,0,Republican,Male,Caucasian,1,0,1,0.3704257156
14997,2014,Mayor,0.61,1,0,Democrat,Female,Caucasian,0,0,1,0.7690423651
107687,2013,Mayor,0.04,0,0,Republican,Female,Caucasian,1,0,1,0.9778440041
124207,2003,Mayor,0,0,0,Democrat,Male,Caucasian,1,0,1,0.5069215816
16599,2016,Mayor,0.27,0,0,Democrat,Female,Caucasian,1,0,1,0.2505034217
94892,2006,Mayor,0.26,0,0,Republican,Female,Caucasian,1,0,1,0.8161470502
114011,2014,Mayor,0,0,0,Republican,Male,Asian,1,0,1,0.6550095771
39803,2013,Mayor,0.64,1,1,Democrat,Male,Black,0,1,0,0.2888894664
7858,1993,Mayor,0.66,1,0,Democrat,Male,Caucasian,0,0,1,0.51039231
85701,1997,Mayor,0.4,0,0,Democrat,Male,Caucasian,1,0,1,0.8607014328
39544,2017,Mayor,1,1,0,Democrat,Male,Black,0,0,1,0.3685597238
75834,2003,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.8745087387
110394,2017,Mayor,0.04,0,0,Democrat,Male,Caucasian,1,0,1,0.7519414806
34648,2014,Mayor,0.73,1,1,Democrat,Female,Caucasian,0,1,0,0.02334597243
39002,1997,Mayor,0.79,1,1,Democrat,Male,Caucasian,0,1,0,0.4641279853
22820,2018,Mayor,0.1,0,0,Democrat,Female,Caucasian,1,0,1,0.7954819238
124208,2003,Mayor,0,0,0,Republican,Male,Caucasian,1,0,1,0.9876094221
56321,2017,Mayor,0.53,1,1,Democrat,Female,Caucasian,0,1,0,0.009435378819
88829,2011,Mayor,0.03,0,0,Democrat,Male,Black,1,0,1,0.1582749596
31191,2020,Mayor,0.17,0,0,Democrat,Female,Caucasian,1,0,1,0.3836094648
55951,2001,Mayor,0.55,1,1,Democrat,Female,Caucasian,0,1,0,0.3171546353
50472,2013,Mayor,0.31,0,0,Republican,Male,Caucasian,1,0,1,0.9266919768
69661,2019,Mayor,0.44,0,0,Democrat,Male,Caucasian,1,0,1,0.5221080423
101042,2014,Mayor,0.01,0,0,Unknown,Male,Black,1,0,1,0.5545252743
37966,2017,Mayor,0.71,1,1,Democrat,Male,Caucasian,0,1,0,0.520041219
27252,1993,Mayor,0.41,0,0,Republican,Female,Hispanic,1,0,1,0.4839138423
26405,2000,Mayor,1,1,1,Democrat,Male,Caucasian,0,1,0,0.9761514216
44876,2015,Mayor,0.68,1,0,Democrat,Female,Caucasian,0,0,1,0.07400362297
120858,2009,Mayor,0.03,0,0,Democrat,Female,Black,1,0,1,0.7011635976
109995,2017,Mayor,0.17,0,0,Democrat,Male,Hispanic,1,0,1,0.2847577726
23614,2016,Mayor,1,1,1,Democrat,Male,Caucasian,0,1,0,0.159168133
85177,2012,Mayor,0.04,0,0,Democrat,Male,Caucasian,1,0,1,0.4061116274
107676,2020,Mayor,0.07,0,0,Democrat,Female,Caucasian,1,0,1,0.5542517842
103552,2001,Mayor,0.11,0,0,Democrat,Male,Black,1,0,1,0.2401867696
118166,2010,Mayor,0.04,0,0,Democrat,Male,Caucasian,1,0,1,0.03851820466
73404,1998,Mayor,0.19,0,0,Republican,Male,Caucasian,1,0,1,0.2551756153
74504,2011,Mayor,0.29,0,0,Democrat,Female,Caucasian,1,0,1,0.6403264675
62254,1998,Mayor,0.56,1,0,Republican,Male,Caucasian,0,0,1,0.08899285784
98676,2015,Mayor,0.12,0,0,Republican,Male,Hispanic,1,0,1,0.04076996149
17129,2003,Mayor,0.49,0,1,Democrat,Male,Caucasian,1,0,1,0.08247652332
90804,2006,Mayor,0.05,0,0,Unknown,Unknown,Unknown,1,0,1,0.3178313865
31272,1997,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1,0.637875649
69847,2011,Mayor,0.38,0,0,Republican,Male,Caucasian,1,0,1,0.7986643912
50482,1997,Mayor,0.5,0,0,Democrat,Female,Black,1,0,1,0.2037831067
34485,2016,Mayor,0.37,0,1,Democrat,Male,Caucasian,1,0,1,0.6065777642
17031,2016,Mayor,0.59,1,1,Democrat,Male,Black,0,1,0,0.610877846
96619,1993,Mayor,0.21,0,0,Republican,Male,Caucasian,1,0,1,0.8341653083
123712,2001,Mayor,0,0,0,Unknown,Unknown,Caucasian,1,0,1,0.5552785324
30670,1994,Mayor,0.48,0,0,Republican,Male,Caucasian,1,0,1,0.3193936351
124015,2019,Mayor,0,0,0,Republican,Male,Caucasian,1,0,1,0.9325489065
54990,2003,Mayor,0.39,0,1,Democrat,Male,Caucasian,1,0,1,0.127210405
30363,1997,Mayor,0.7,1,0,Unknown,Male,Caucasian,0,0,1,0.8531302376
29165,2018,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.2533790081
42910,1997,Mayor,0.81,1,0,Republican,Male,Caucasian,0,0,1,0.8600286428
33252,2000,Mayor,0.78,1,0,Republican,Male,Caucasian,0,0,1,0.05591216309
122962,2007,Mayor,0,0,0,Democrat,Male,Caucasian,1,0,1,0.6658987562
120288,1998,Mayor,0.01,0,0,Unknown,Unknown,Black,1,0,1,0.09692470086
36450,2005,Mayor,0.61,1,1,Democrat,Male,Caucasian,0,1,0,0.626312608
84369,1995,Mayor,0.23,0,0,Unknown,Male,Caucasian,1,0,1,0.6363390371
37627,2014,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0,0.8691763977
46237,2009,Mayor,0.26,0,0,Democrat,Male,Hispanic,1,0,1,0.9791618844
71558,2015,Mayor,0.31,0,1,Democrat,Male,Caucasian,1,0,1,0.1602815577
35095,2001,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0,0.3386412433
92522,2012,Mayor,0.03,0,0,Republican,Male,Caucasian,1,0,1,0.05829173476
75907,2019,Mayor,0.38,0,0,Democrat,Unknown,Unknown,1,0,1,0.2652657127
73365,2020,Mayor,0.14,0,0,Democrat,Male,Caucasian,1,0,1,0.008647750119
12184,2021,Mayor,0.31,0,0,Democrat,Female,Black,1,0,1,0.01116779728
37928,2006,Mayor,0.2,0,0,Democrat,Unknown,Unknown,1,0,1,0.7576118581
34415,2008,Mayor,0.58,1,0,Democrat,Male,Caucasian,0,0,1,0.2840453408
30541,2020,Mayor,0.18,0,0,Republican,Male,Caucasian,1,0,1,0.8007905919
67924,2015,Mayor,0.52,1,1,Republican,Male,Caucasian,0,1,0,0.6053542726
108265,2004,Mayor,0.01,0,0,Republican,Male,Caucasian,1,0,1,0.683918689
100887,2009,Mayor,0.03,0,0,Democrat,Male,Black,1,0,1,0.1635099044
87727,2017,Mayor,0.4,0,0,Democrat,Male,Caucasian,1,0,1,0.4695253815
23330,2019,Mayor,0.22,0,0,Republican,Male,Caucasian,1,0,1,0.4615435781
57613,2009,Mayor,0.26,0,0,Republican,Male,Caucasian,1,0,1,0.896531743
5442,1994,Mayor,0.42,0,0,Republican,Female,Caucasian,1,0,1,0.8456078648
102025,1997,Mayor,0.22,0,0,Republican,Male,Caucasian,1,0,1,0.96916813
115495,1996,Mayor,0.02,0,0,Unknown,Male,Caucasian,1,0,1,0.8895352743
88606,1993,Mayor,0.48,0,0,Unknown,Male,Caucasian,1,0,1,0.3982948031
45869,2011,Mayor,0.44,0,0,Democrat,Male,Caucasian,1,0,1,0.6530953738
54005,2012,Mayor,1,1,1,Democrat,Male,Caucasian,0,1,0,0.4168307854
25092,2007,Mayor,0.57,1,0,Democrat,Female,Black,0,0,1,0.6575407861
74802,2002,Mayor,1,1,0,Unknown,Male,Caucasian,0,0,1,0.6392390966
123131,2007,Mayor,0,0,0,Unknown,Male,Caucasian,1,0,1,0.4894962246
7406,2011,Mayor,0.51,1,1,Democrat,Female,Caucasian,0,1,0,0.4237005224
119581,1997,Mayor,0,0,0,Unknown,Male,Caucasian,1,0,1,0.7893560534
20165,2007,Mayor,0.35,0,0,Republican,Male,Caucasian,1,0,1,0.4186812155
55027,2021,Mayor,0.35,0,0,Democrat,Female,Caucasian,1,0,1,0.8673750519
121514,2010,Mayor,0,0,0,Unknown,Male,Caucasian,1,0,1,0.8801280615
88690,2021,Mayor,0.01,0,0,Republican,Male,Caucasian,1,0,1,0.7619445006
118802,2017,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1,0.8817088752
47577,2013,Mayor,0.39,1,0,Democrat,Male,Caucasian,0,0,1,0.4806518397
18835,2021,Mayor,0.85,1,0,Democrat,Female,Black,0,0,1,0.6116693906
20110,2014,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.7942572633
34417,2009,Mayor,0.33,0,0,Democrat,Male,Black,1,0,1,0.6624535501
94985,1999,Mayor,0.88,1,1,Republican,Male,Caucasian,0,1,0,0.9634448574
92592,2014,Mayor,0.08,0,1,Democrat,Male,Black,1,0,1,0.1327961813
26083,2000,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1,0.4229996736
70452,1993,Mayor,0.46,0,0,Democrat,Female,Caucasian,1,0,1,0.7392436567
37964,2012,Mayor,0.44,0,0,Republican,Female,Caucasian,1,0,1,0.8109360565
120082,2021,Mayor,0.02,0,0,Democrat,Male,Black,1,0,1,0.190810284
