,year,office_consolidated,vote_share,winner,incumbent,pid_est,gender_est,race_est,loser,incumbent_win,incumbent_lose
2635,2017,Mayor,0.56,1,0,Democrat,Female,Caucasian,0,0,1
2688,2018,Mayor,0.76,1,1,Democrat,Male,Caucasian,0,1,0
2741,1993,Mayor,0.65,1,1,Democrat,Male,Black,0,1,0
2754,2003,Mayor,0.47,0,0,Democrat,Male,Caucasian,1,0,1
2824,2006,Mayor,0.59,1,0,Democrat,Male,Caucasian,0,0,1
2880,2018,Mayor,0.34,1,1,Democrat,Female,Black,0,1,0
2906,2012,Mayor,0.6,1,1,Democrat,Male,Black,0,1,0
2912,2005,Mayor,0.65,1,1,Democrat,Male,Caucasian,0,1,0
2921,1993,Mayor,0.43,0,0,Democrat,Female,Black,1,0,1
2989,2020,Mayor,0.52,1,1,Republican,Male,Caucasian,0,1,0
2995,2018,Mayor,0.34,0,0,Democrat,Male,Caucasian,1,0,1
3009,2019,Mayor,0.56,1,1,Democrat,Male,Black,0,1,0
3131,2016,Mayor,0.7,1,1,Democrat,Male,Caucasian,0,1,0
3155,2001,Mayor,0.54,1,0,Democrat,Male,Black,0,0,1
3195,2021,Mayor,0.41,0,0,Democrat,Female,Hispanic,1,0,1
3212,1996,Mayor,0.43,0,0,Democrat,Male,Asian,1,0,1
3222,2005,Mayor,0.47,0,0,Democrat,Male,Black,1,0,1
3231,2008,Mayor,0.59,1,0,Democrat,Male,Caucasian,0,0,1
3233,2019,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
3273,1995,Mayor,0.57,1,0,Democrat,Male,Black,0,0,1
3307,2006,Mayor,0.9,1,0,Democrat,Male,Black,0,0,1
3325,1997,Mayor,0.57,1,0,Democrat,Male,Caucasian,0,0,1
3328,2013,Mayor,0.52,1,0,Democrat,Male,Caucasian,0,0,1
3348,2016,Mayor,0.55,1,0,Democrat,Male,Caucasian,0,0,1
3354,2018,Mayor,0.37,0,0,Republican,Female,Caucasian,1,0,1
3369,2007,Mayor,0.74,1,1,Democrat,Male,Caucasian,0,1,0
3373,2009,Mayor,0.52,1,0,Democrat,Male,Caucasian,0,0,1
3383,2015,Mayor,0.56,1,1,Democrat,Male,Asian,0,1,0
3407,2004,Mayor,0.38,0,0,Democrat,Male,Caucasian,1,0,1
3419,2015,Mayor,0.5,1,0,Democrat,Male,Black,0,0,1
3455,1995,Mayor,0.83,1,1,Democrat,Male,Caucasian,0,1,0
3462,2015,Mayor,0.5,0,0,Republican,Male,Caucasian,1,0,1
3489,2015,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
3509,2010,Mayor,0.77,1,1,Democrat,Male,Caucasian,0,1,0
3514,1999,Mayor,0.53,1,0,Democrat,Male,Caucasian,0,0,1
3525,1994,Mayor,0.56,1,0,Democrat,Female,Black,0,0,1
3582,2013,Mayor,0.42,1,0,Republican,Male,Caucasian,0,0,1
3624,2007,Mayor,0.86,1,1,Democrat,Male,Caucasian,0,1,0
3626,2016,Mayor,0.54,1,1,Republican,Male,Caucasian,0,1,0
3768,2015,Mayor,0.49,0,1,Democrat,Male,Black,1,0,1
3770,2009,Mayor,0.48,0,0,Democrat,Male,Caucasian,1,0,1
3780,2013,Mayor,0.57,1,1,Democrat,Female,Caucasian,0,1,0
3786,2010,Mayor,0.96,1,0,Democrat,Male,Caucasian,0,0,1
3788,2013,Mayor,0.48,0,1,Democrat,Male,Caucasian,1,0,1
3835,2011,Mayor,0.5,1,0,Democrat,Male,Black,0,0,1
3854,2003,Mayor,0.42,0,0,Democrat,Male,Black,1,0,1
3857,2014,Mayor,0.56,1,0,Democrat,Female,Black,0,0,1
3882,2020,Mayor,0.44,0,0,Democrat,Unknown,Unknown,1,0,1
3951,2011,Mayor,0.5,0,0,Republican,Male,Caucasian,1,0,1
3971,2017,Mayor,0.44,0,0,Democrat,Male,Caucasian,1,0,1
4003,2004,Mayor,0.54,1,0,Democrat,Male,Black,0,0,1
4006,2001,Mayor,0.46,0,0,Republican,Male,Black,1,0,1
4053,2015,Mayor,0.6,1,0,Democrat,Male,Caucasian,0,0,1
4057,2000,Mayor,0.51,1,1,Democrat,Male,Caucasian,0,1,0
4067,2000,Mayor,0.57,1,0,Republican,Male,Caucasian,0,0,1
4072,1995,Mayor,0.74,1,1,Democrat,Male,Black,0,1,0
4094,1998,Mayor,0.51,1,0,Democrat,Male,Hispanic,0,0,1
4128,1994,Mayor,0.54,1,0,Democrat,Male,Black,0,0,1
4141,2015,Mayor,0.62,1,0,Democrat,Male,Caucasian,0,0,1
4167,1998,Mayor,0.66,1,0,Democrat,Male,Black,0,0,1
4168,2011,Mayor,0.51,1,1,Republican,Male,Caucasian,0,1,0
4176,1998,Mayor,0.79,1,1,Democrat,Male,Black,0,1,0
4180,2008,Mayor,0.58,1,0,Democrat,Male,Black,0,0,1
4186,2021,Mayor,0.62,1,1,Democrat,Male,Asian,0,1,0
4197,2007,Mayor,0.2,0,0,Democrat,Female,Black,1,0,1
4200,2008,Mayor,0.54,1,1,Republican,Male,Caucasian,0,1,0
4203,2014,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1
4207,2021,Mayor,0.64,1,0,Democrat,Female,Asian,0,0,1
4215,2019,Mayor,0.56,1,1,Democrat,Male,Black,0,1,0
4386,1999,Mayor,0.4,0,0,Democrat,Male,Caucasian,1,0,1
4394,1998,Mayor,0.49,0,0,Republican,Female,Caucasian,1,0,1
4411,2014,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
4415,2020,Mayor,0.77,1,1,Democrat,Male,Caucasian,0,1,0
4435,2019,Mayor,0.44,0,0,Republican,Male,Caucasian,1,0,1
4442,2016,Mayor,0.97,1,1,Democrat,Male,Caucasian,0,1,0
4504,2003,Mayor,0.63,1,1,Democrat,Male,Caucasian,0,1,0
4532,1999,Mayor,0.9,1,0,Democrat,Male,Caucasian,0,0,1
4599,1999,Mayor,0.6,1,0,Democrat,Male,Black,0,0,1
4608,2004,Mayor,0.54,1,0,Democrat,Male,Caucasian,0,0,1
4617,2001,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1
4672,2020,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
4680,2015,Mayor,0.65,1,1,Democrat,Male,Caucasian,0,1,0
4735,2011,Mayor,0.47,0,0,Democrat,Female,Caucasian,1,0,1
4763,2019,Mayor,0.58,1,1,Republican,Male,Caucasian,0,1,0
4780,2011,Mayor,0.31,1,0,Democrat,Male,Asian,0,0,1
4791,2018,Mayor,0.53,1,1,Democrat,Female,Caucasian,0,1,0
4837,2012,Mayor,0.34,0,0,Democrat,Male,Caucasian,1,0,1
4893,2019,Mayor,0.59,1,0,Democrat,Female,Hispanic,0,0,1
4894,2001,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
4895,2007,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1
4909,1999,Mayor,0.42,0,0,Republican,Female,Caucasian,1,0,1
4958,2011,Mayor,0.56,1,0,Democrat,Male,Caucasian,0,0,1
4974,2018,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1
4976,1995,Mayor,0.43,0,1,Democrat,Male,Caucasian,1,0,1
4977,1996,Mayor,0.6,1,1,Democrat,Male,Caucasian,0,1,0
4990,2009,Mayor,0.53,1,0,Democrat,Female,Caucasian,0,0,1
5000,2003,Mayor,0.37,0,0,Republican,Male,Hispanic,1,0,1
5011,1997,Mayor,0.43,0,0,Democrat,Male,Asian,1,0,1
5056,2004,Mayor,0.46,0,1,Republican,Male,Caucasian,1,0,1
5063,1995,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
5099,2006,Mayor,0.41,0,0,Democrat,Female,Hispanic,1,0,1
5177,2002,Mayor,0.61,1,1,Democrat,Male,Black,0,1,0
5237,1995,Mayor,0.69,1,1,Republican,Male,Caucasian,0,1,0
5242,1993,Mayor,0.84,1,1,Democrat,Male,Caucasian,0,1,0
5259,2014,Mayor,0.31,0,0,Republican,Male,Caucasian,1,0,1
5311,2007,Mayor,0.76,1,1,Republican,Male,Caucasian,0,1,0
5326,1995,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
5336,2007,Mayor,0.48,0,1,Democrat,Male,Caucasian,1,0,1
5356,1994,Mayor,0.46,0,0,Democrat,Male,Caucasian,1,0,1
5442,1994,Mayor,0.42,0,0,Republican,Female,Caucasian,1,0,1
5488,2002,Mayor,0.59,1,0,Democrat,Male,Caucasian,0,0,1
5492,2006,Mayor,0.31,0,0,Republican,Male,Caucasian,1,0,1
5527,1993,Mayor,0.84,1,1,Democrat,Male,Black,0,1,0
5555,2015,Mayor,0.82,1,1,Democrat,Male,Black,0,1,0
5562,2018,Mayor,0.48,0,0,Democrat,Male,Caucasian,1,0,1
5588,2008,Mayor,0.71,1,1,Democrat,Male,Black,0,1,0
5592,1996,Mayor,0.66,1,1,Republican,Male,Caucasian,0,1,0
5604,2010,Mayor,0.41,1,0,Unknown,Male,Caucasian,0,0,1
5638,1999,Mayor,0.46,1,1,Democrat,Male,Black,0,1,0
5673,2019,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
5684,2008,Mayor,0.39,1,0,Republican,Male,Caucasian,0,0,1
5687,2004,Mayor,0.46,0,0,Democrat,Male,Black,1,0,1
5697,2013,Mayor,0.55,1,0,Democrat,Male,Caucasian,0,0,1
5729,2016,Mayor,0.23,0,0,Democrat,Female,Hispanic,1,0,1
5800,2009,Mayor,0.47,0,0,Democrat,Male,Black,1,0,1
5813,2007,Mayor,0.77,1,1,Democrat,Male,Caucasian,0,1,0
5829,2002,Mayor,0.55,1,0,Democrat,Female,Caucasian,0,0,1
5849,2008,Mayor,0.54,1,0,Republican,Female,Caucasian,0,0,1
5870,2013,Mayor,0.52,1,0,Democrat,Male,Caucasian,0,0,1
5882,2003,Mayor,0.97,1,1,Democrat,Male,Black,0,1,0
5887,2020,Mayor,0.52,1,0,Democrat,Male,Hispanic,0,0,1
5890,2017,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
5900,2020,Mayor,0.13,0,0,Republican,Male,Caucasian,1,0,1
5917,2017,Mayor,0.59,1,0,Democrat,Female,Black,0,0,1
5922,2003,Mayor,0.7,1,1,Democrat,Male,Black,0,1,0
5929,2009,Mayor,0.26,0,0,Republican,Male,Black,1,0,1
5942,2016,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
6001,2000,Mayor,0.43,0,0,Democrat,Male,Black,1,0,1
6007,2019,Mayor,0.44,0,0,Democrat,Female,Caucasian,1,0,1
6051,2011,Mayor,0.58,1,0,Democrat,Male,Black,0,0,1
6066,2021,Mayor,0.56,1,1,Democrat,Male,Caucasian,0,1,0
6069,2019,Mayor,0.78,1,1,Democrat,Female,Black,0,1,0
6094,2020,Mayor,0.57,1,0,Republican,Female,Caucasian,0,0,1
6116,2017,Mayor,0.66,1,1,Democrat,Male,Caucasian,0,1,0
6120,2007,Mayor,0.43,1,1,Democrat,Male,Black,0,1,0
6132,2009,Mayor,0.58,1,0,Democrat,Male,Black,0,0,1
6166,2019,Mayor,0.73,1,1,Republican,Male,Caucasian,0,1,0
6192,2003,Mayor,0.65,1,0,Democrat,Male,Caucasian,0,0,1
6195,2007,Mayor,0.69,1,1,Democrat,Male,Black,0,1,0
6218,2021,Mayor,0.76,1,1,Democrat,Male,Caucasian,0,1,0
6271,1995,Mayor,0.62,1,0,Democrat,Male,Black,0,0,1
6272,2003,Mayor,0.72,1,0,Democrat,Male,Caucasian,0,0,1
6365,2016,Mayor,0.49,0,0,Democrat,Male,Hispanic,1,0,1
6367,2001,Mayor,0.76,1,1,Democrat,Male,Caucasian,0,1,0
6375,2007,Mayor,0.87,1,1,Democrat,Male,Caucasian,0,1,0
6395,2020,Mayor,0.59,1,0,Democrat,Female,Caucasian,0,0,1
6404,2013,Mayor,0.48,0,0,Democrat,Male,Caucasian,1,0,1
6419,1997,Mayor,0.61,1,1,Democrat,Male,Black,0,1,0
6433,2008,Mayor,0.35,0,1,Democrat,Unknown,Caucasian,1,0,1
6444,2018,Mayor,0.63,1,0,Republican,Female,Caucasian,0,0,1
6466,2008,Mayor,0.42,0,1,Democrat,Female,Caucasian,1,0,1
6473,2010,Mayor,0.37,0,0,Democrat,Male,Caucasian,1,0,1
6511,1995,Mayor,0.54,1,1,Democrat,Male,Black,0,1,0
6519,2005,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1
6556,2016,Mayor,0.64,1,1,Republican,Unknown,Caucasian,0,1,0
6557,2020,Mayor,0.48,0,0,Republican,Female,Caucasian,1,0,1
6560,2000,Mayor,0.61,1,0,Republican,Unknown,Caucasian,0,0,1
6593,2000,Mayor,0.54,1,0,Democrat,Female,Caucasian,0,0,1
6601,2021,Mayor,0.56,1,1,Democrat,Male,Caucasian,0,1,0
6631,2018,Mayor,0.2,0,0,Democrat,Female,Asian,1,0,1
6638,2015,Mayor,0.68,1,0,Republican,Male,Caucasian,0,0,1
6641,2012,Mayor,0.34,0,0,Republican,Unknown,Black,1,0,1
6668,2013,Mayor,0.27,0,0,Unknown,Male,Hispanic,1,0,1
6680,2000,Mayor,0.35,0,0,Democrat,Unknown,Asian,1,0,1
6689,2009,Mayor,0.6,1,0,Democrat,Male,Black,0,0,1
6694,2020,Mayor,0.57,1,1,Democrat,Unknown,Black,0,1,0
6757,2003,Mayor,0.14,0,0,Democrat,Male,Black,1,0,1
6812,1995,Mayor,0.21,0,0,Republican,Male,Black,1,0,1
6817,2011,Mayor,0.44,0,0,Republican,Male,Caucasian,1,0,1
6818,2008,Mayor,0.79,1,1,Democrat,Male,Caucasian,0,1,0
6849,1995,Mayor,0.58,1,1,Republican,Male,Caucasian,0,1,0
6862,1997,Mayor,0.57,1,0,Republican,Male,Caucasian,0,0,1
6876,2005,Mayor,0.68,1,1,Democrat,Male,Caucasian,0,1,0
6891,2015,Mayor,0.4,0,0,Democrat,Male,Caucasian,1,0,1
6943,1993,Mayor,0.35,0,0,Unknown,Male,Caucasian,1,0,1
6980,2009,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0
6993,2005,Mayor,0.49,0,0,Democrat,Male,Hispanic,1,0,1
7046,2021,Mayor,0.65,1,1,Republican,Female,Caucasian,0,1,0
7051,2005,Mayor,0.35,0,0,Democrat,Male,Caucasian,1,0,1
7064,2019,Mayor,0.7,1,0,Democrat,Male,Caucasian,0,0,1
7078,2001,Mayor,0.67,1,1,Republican,Male,Caucasian,0,1,0
7115,2012,Mayor,0.73,1,1,Democrat,Male,Black,0,1,0
7127,2016,Mayor,0.58,1,0,Democrat,Male,Caucasian,0,0,1
7168,1997,Mayor,0.77,1,1,Democrat,Male,Caucasian,0,1,0
7170,2019,Mayor,0.51,1,1,Democrat,Male,Asian,0,1,0
7193,2008,Mayor,0.33,0,0,Democrat,Male,Asian,1,0,1
7201,2016,Mayor,0.19,0,0,Democrat,Male,Caucasian,1,0,1
7212,2014,Mayor,0.35,0,0,Democrat,Male,Caucasian,1,0,1
7220,2015,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
7307,2008,Mayor,0.46,0,0,Democrat,Male,Hispanic,1,0,1
7337,2020,Mayor,0.84,1,1,Republican,Female,Asian,0,1,0
7346,2015,Mayor,0.55,1,0,Democrat,Female,Caucasian,0,0,1
7349,2009,Mayor,0.78,1,1,Democrat,Male,Caucasian,0,1,0
7356,2020,Mayor,0.67,1,1,Republican,Male,Caucasian,0,1,0
7359,2013,Mayor,0.45,0,0,Democrat,Male,Black,1,0,1
7390,2017,Mayor,0.62,1,0,Democrat,Male,Caucasian,0,0,1
7406,2011,Mayor,0.51,1,1,Democrat,Female,Caucasian,0,1,0
7418,2002,Mayor,0.45,0,0,Democrat,Male,Caucasian,1,0,1
7434,2019,Mayor,0.62,1,1,Democrat,Male,Caucasian,0,1,0
7439,2008,Mayor,0.35,0,0,Republican,Male,Black,1,0,1
7471,2016,Mayor,0.52,1,0,Democrat,Unknown,Black,0,0,1
7501,2006,Mayor,0.52,1,1,Democrat,Male,Caucasian,0,1,0
7514,2016,Mayor,0.53,1,0,Republican,Female,Asian,0,0,1
7523,1993,Mayor,0.57,1,0,Democrat,Female,Black,0,0,1
7527,2001,Mayor,0.54,1,0,Democrat,Female,Caucasian,0,0,1
7563,2019,Mayor,0.49,0,0,Republican,Male,Hispanic,1,0,1
7565,2001,Mayor,0.59,1,0,Democrat,Male,Hispanic,0,0,1
7579,1994,Mayor,0.65,1,1,Democrat,Male,Black,0,1,0
7583,2019,Mayor,0.41,0,0,Democrat,Male,Hispanic,1,0,1
7645,2007,Mayor,0.61,1,1,Republican,Male,Caucasian,0,1,0
7658,2020,Mayor,1.0,1,1,Democrat,Female,Caucasian,0,1,0
7661,2013,Mayor,0.24,0,0,Republican,Male,Caucasian,1,0,1
7677,2010,Mayor,0.66,1,0,Democrat,Male,Caucasian,0,0,1
7715,1993,Mayor,0.66,1,0,Democrat,Male,Black,0,0,1
7743,2014,Mayor,0.65,1,1,Democrat,Male,Caucasian,0,1,0
7764,2001,Mayor,0.65,1,0,Democrat,Unknown,Caucasian,0,0,1
7766,1994,Mayor,0.58,1,1,Democrat,Female,Caucasian,0,1,0
7787,2018,Mayor,0.65,1,1,Democrat,Female,Caucasian,0,1,0
7803,2020,Mayor,0.63,1,1,Democrat,Male,Caucasian,0,1,0
7833,2002,Mayor,0.56,1,1,Democrat,Male,Hispanic,0,1,0
7839,2020,Mayor,0.56,1,0,Republican,Male,Caucasian,0,0,1
7851,1999,Mayor,0.4,0,0,Republican,Female,Caucasian,1,0,1
7855,2007,Mayor,0.35,0,0,Democrat,Female,Caucasian,1,0,1
7858,1993,Mayor,0.66,1,0,Democrat,Male,Caucasian,0,0,1
7865,2011,Mayor,0.21,0,0,Democrat,Male,Caucasian,1,0,1
7929,2002,Mayor,0.25,0,0,Republican,Male,Caucasian,1,0,1
7942,1995,Mayor,0.46,0,0,Democrat,Female,Caucasian,1,0,1
7949,2019,Mayor,0.19,0,0,Republican,Male,Caucasian,1,0,1
7957,2015,Mayor,0.38,0,0,Republican,Male,Caucasian,1,0,1
7958,2011,Mayor,0.57,1,0,Republican,Male,Caucasian,0,0,1
8013,2000,Mayor,0.46,0,0,Democrat,Male,Caucasian,1,0,1
8018,2020,Mayor,0.48,1,0,Democrat,Female,Caucasian,0,0,1
8047,2016,Mayor,0.71,1,0,Democrat,Male,Black,0,0,1
8055,2011,Mayor,0.68,1,1,Democrat,Male,Black,0,1,0
8059,2018,Mayor,0.19,0,0,Democrat,Female,Caucasian,1,0,1
8130,2019,Mayor,0.56,1,0,Democrat,Female,Hispanic,0,0,1
8174,1997,Mayor,0.5,1,1,Republican,Male,Caucasian,0,1,0
8181,2016,Mayor,0.48,0,0,Republican,Unknown,Unknown,1,0,1
8204,2009,Mayor,0.52,1,0,Democrat,Male,Black,0,0,1
8242,2021,Mayor,0.44,0,0,Democrat,Female,Caucasian,1,0,1
8244,1999,Mayor,0.59,1,1,Republican,Male,Caucasian,0,1,0
8258,1996,Mayor,0.4,0,0,Democrat,Male,Caucasian,1,0,1
8283,1995,Mayor,0.79,1,1,Democrat,Male,Black,0,1,0
8299,1997,Mayor,0.5,0,0,Democrat,Female,Black,1,0,1
