contest,fips,geo_name,year,month,votes,candidate_count,ledb_candid,incumbent,vote_share,winner,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,contributor.cfscore,bonica.cid,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,W_ledb_candid,W_vote_share,W_votes,W_pid_est,W_race_est,W_gender_est,W_contributor.cfscore,W_bonica.cid,RU_ledb_candid,RU_vote_share,RU_votes,RU_pid_est,RU_race_est,RU_gender_est,W_ledb_candid,W_vote_share,W_votes,W_pid_est,W_race_est,W_gender_est,W_contributor.cfscore,W_bonica.cid,RU_ledb_candid,RU_vote_share,RU_votes,RU_pid_est,RU_race_est,RU_gender_est,RU_contributor.cfscore,RU_bonica.cid
4260000_2003_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,2003,11.0,267276.0,3,43769,1.0,0.58,win,1,1.0,0.0,D,0.99,0.01,M,1.0,0.0,0.0,0.0,0.0,black,,,0.533246220460796,0.438280243481239,0.432623816603996,0.0963533454935849,0.101887959061577,43769.0,0.58,267276.0,D,black,M,,,43865.0,0.41,189357.0,R,caucasian,M,43769.0,0.58,267276.0,D,black,M,,,43865.0,0.41,189357.0,R,caucasian,M,0.35,5754570618.0
644000_1997_4_los angeles_CA_Mayor_mayor_1,644000,los angeles,1997,4.0,250771.0,5,70168,1.0,0.61,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.58,28187853766.0,0.50042873624252,0.486997559040278,0.120636281553908,0.445449440535844,0.349143771768968,70168.0,0.61,250771.0,R,caucasian,M,0.58,28187853766.0,70123.0,0.34,140648.0,D,caucasian,M,70168.0,0.61,250771.0,R,caucasian,M,0.58,28187853766.0,70123.0,0.34,140648.0,D,caucasian,M,-0.75,29326006553.0
4260000_1995_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,1995,11.0,237073.0,4,43850,1.0,0.77,win,1,1.0,0.0,D,0.97,0.03,M,0.06,0.81,0.12,0.01,0.0,caucasian,-0.66,29075805121.0,0.53503433383343,0.492717071931679,0.415356217336226,0.0706053497520882,0.0784336426679577,43850.0,0.77,237073.0,D,caucasian,M,-0.66,29075805121.0,43855.0,0.21,64509.0,R,black,M,43850.0,0.77,237073.0,D,caucasian,M,-0.66,29075805121.0,43855.0,0.21,64509.0,R,black,M,,
4260000_2019_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,2019,11.0,234749.0,2,43757,1.0,0.81,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.526801671412432,0.40698122090542,0.422579825527148,0.144442628487433,0.0774661615591662,43757.0,0.81,234749.0,D,caucasian,M,,,43846.0,0.19,56710.0,R,caucasian,M,43757.0,0.81,234749.0,D,caucasian,M,,,43846.0,0.19,56710.0,R,caucasian,M,-0.48,27364627590.0
644000_2005_5_los angeles_CA_Mayor_mayor_1,644000,los angeles,2005,5.0,203968.0,2,70156,1.0,0.41,lose,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.501713836289845,0.483582925553084,0.104321406245927,0.475053854625041,0.35535497672232,69915.0,0.59,289116.0,D,hispanic,,,,70156.0,0.41,203968.0,D,caucasian,M,69915.0,0.59,289116.0,D,hispanic,,,,70156.0,0.41,203968.0,D,caucasian,M,,
666000_2016_6_san diego_CA_Mayor_mayor_1,666000,san diego,2016,6.0,181147.0,3,73768,1.0,0.57,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.98,2966993991.0,0.49517941229391,0.62624433957426,0.0652579322793135,0.29705002966743,0.21507937541661,73768.0,0.57,181147.0,R,caucasian,M,0.98,2966993991.0,73866.0,0.23,73932.0,D,hispanic,F,73768.0,0.57,181147.0,R,caucasian,M,0.98,2966993991.0,73866.0,0.23,73932.0,D,hispanic,F,-0.52,5000004636045074.0
2148000_2018_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2018,11.0,177749.0,9,15721,1.0,0.61,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.02,3935863320.0,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,15721.0,0.61,177749.0,D,caucasian,M,0.02,3935863320.0,15550.0,0.37,105853.0,R,caucasian,F,15721.0,0.61,177749.0,D,caucasian,M,0.02,3935863320.0,15550.0,0.37,105853.0,R,caucasian,F,0.98,5000004028279867.0
2404000_2004_11_baltimore_MD_Mayor_mayor_1,2404000,baltimore,2004,11.0,173030.0,4,18175,1.0,0.87,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.8,108852871.0,0.531914398507819,0.308216716799073,0.640986045106435,0.02691452629387,0.0302541496693132,18175.0,0.87,173030.0,D,caucasian,M,-0.8,108852871.0,18168.0,0.12,24445.0,R,black,M,18175.0,0.87,173030.0,D,caucasian,M,-0.8,108852871.0,18168.0,0.12,24445.0,R,black,M,,
2148000_2014_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2014,11.0,172810.0,2,15721,1.0,0.69,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.02,3935863320.0,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,15721.0,0.69,172810.0,D,caucasian,M,0.02,3935863320.0,15711.0,0.31,78870.0,R,caucasian,M,15721.0,0.69,172810.0,D,caucasian,M,0.02,3935863320.0,15711.0,0.31,78870.0,R,caucasian,M,1.75,26772973966.0
1517000_2008_11_honolulu_HI_Mayor_mayor_1,1517000,honolulu,2008,11.0,172798.0,2,6981,1.0,0.58,win,1,1.0,0.0,D,,,,0.0,0.0,0.0,1.0,0.0,asian,,,0.508611434736868,0.196667895398176,0.0162461624562433,0.0436666065754177,0.635970801034287,6981.0,0.58,172798.0,D,asian,,,,6873.0,0.42,125626.0,D,asian,F,6981.0,0.58,172798.0,D,asian,,,,6873.0,0.42,125626.0,D,asian,F,-0.31,5000003248174724.0
1150000_2018_11_washington_DC_Mayor_mayor_1,1150000,washington,2018,11.0,171608.0,4,869,1.0,0.8,win,1,1.0,0.0,D,0.01,0.99,F,1.0,0.0,0.0,0.0,0.0,black,-0.91,5000003181121539.0,0.525969981947,0.407080734616827,0.471931170773017,0.106192639912955,0.0470671631977481,869.0,0.8,171608.0,D,black,F,-0.91,5000003181121539.0,703.0,0.1,20950.0,D,caucasian,F,869.0,0.8,171608.0,D,black,F,-0.91,5000003181121539.0,703.0,0.1,20950.0,D,caucasian,F,-1.0,5000036020973944.0
4805000_2018_11_austin_TX_Mayor_mayor_1,4805000,austin,2018,11.0,171198.0,7,48425,1.0,0.59,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.492791167062627,0.717621412336756,0.0789312229682711,0.341583984537161,0.0993051124117755,48425.0,0.59,171198.0,D,caucasian,M,,,48328.0,0.19,56110.0,D,caucasian,F,48425.0,0.59,171198.0,D,caucasian,M,,,48328.0,0.19,56110.0,D,caucasian,F,-0.89,5000004096316320.0
2148000_2002_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2002,11.0,170384.0,4,15725,1.0,0.74,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.4,2724891475.0,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,15725.0,0.74,170384.0,D,caucasian,M,-0.4,2724891475.0,15726.0,0.25,56830.0,R,caucasian,M,15725.0,0.74,170384.0,D,caucasian,M,-0.4,2724891475.0,15726.0,0.25,56830.0,R,caucasian,M,,
4835000_1993_11_houston_TX_Mayor_mayor_1,4835000,houston,1993,11.0,169752.0,5,50877,1.0,0.91,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.502868085684657,0.516618817198516,0.272551030344273,0.305625133579397,0.198302572605702,50877.0,0.91,169752.0,D,caucasian,M,,,50874.0,0.05,9705.0,D,black,M,50877.0,0.91,169752.0,D,caucasian,M,,,50874.0,0.05,9705.0,D,black,M,,108001619.0
4835000_2005_11_houston_TX_Mayor_mayor_1,4835000,houston,2005,11.0,168331.0,5,50878,1.0,0.91,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.499420653998524,0.49892821845768,0.24527160434818,0.4060788108491,0.217980464170445,50878.0,0.91,168331.0,D,caucasian,M,,,50682.0,0.04,7941.0,R,black,F,50878.0,0.91,168331.0,D,caucasian,M,,,50682.0,0.04,7941.0,R,black,F,,5000032074516819.0
4159000_2020_11_portland_OR_Mayor_mayor_1,4159000,portland,2020,11.0,167260.0,2,42163,1.0,0.53,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.12,4183393700.0,0.504302709940167,0.773760985353895,0.0580451300266082,0.0971592661295447,0.0817522637073816,42163.0,0.53,167260.0,D,caucasian,M,-0.12,4183393700.0,42160.0,0.47,147964.0,D,caucasian,F,42163.0,0.53,167260.0,D,caucasian,M,-0.12,4183393700.0,42160.0,0.47,147964.0,D,caucasian,F,-0.46,5000000105556156.0
2148000_2006_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2006,11.0,164414.0,3,15725,1.0,0.67,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.4,2724891475.0,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,15725.0,0.67,164414.0,D,caucasian,M,-0.4,2724891475.0,15658.0,0.31,76423.0,R,caucasian,M,15725.0,0.67,164414.0,D,caucasian,M,-0.4,2724891475.0,15658.0,0.31,76423.0,R,caucasian,M,,
4835000_2001_12_houston_TX_Mayor_mayor_1,4835000,houston,2001,12.0,160507.0,2,50897,1.0,0.51,win,1,1.0,0.0,D,0.89,0.11,M,1.0,0.0,0.0,0.0,0.0,black,-1.0,35156181618.0,0.500401935850915,0.493968577930397,0.251547422176894,0.380500529866483,0.218236646756503,50897.0,0.51,160507.0,D,black,M,-1.0,35156181618.0,50802.0,0.49,156124.0,R,hispanic,M,50897.0,0.51,160507.0,D,black,M,-1.0,35156181618.0,50802.0,0.49,156124.0,R,hispanic,M,,
666000_2004_11_san diego_CA_Mayor_mayor_1,666000,san diego,2004,11.0,157959.0,3,73852,1.0,0.35,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,103207863.0,0.495338871596976,0.596635614217108,0.0740958578144913,0.267447541659127,0.273835882186334,73852.0,0.35,157959.0,R,caucasian,M,,103207863.0,73723.0,0.34,155851.0,D,caucasian,F,73852.0,0.35,157959.0,R,caucasian,M,,103207863.0,73723.0,0.34,155851.0,D,caucasian,F,-0.32,5000002945995614.0
666000_1996_3_san diego_CA_Mayor_mayor_1,666000,san diego,1996,3.0,157385.0,6,73875,1.0,0.78,win,1,0.0,1.0,R,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.493427318335765,0.629544760906755,0.084740795216559,0.235072781742648,0.2505903641985,73875.0,0.78,157385.0,R,caucasian,F,,,73859.0,0.06,12853.0,D,caucasian,M,73875.0,0.78,157385.0,R,caucasian,F,,,73859.0,0.06,12853.0,D,caucasian,M,,34262411561.0
4159000_1996_11_portland_OR_Mayor_mayor_1,4159000,portland,1996,11.0,155547.0,1,42164,1.0,1.0,win,1,1.0,0.0,D,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,-0.28,5000005000896505.0,0.50956663242691,0.806012413348364,0.0704875574823231,0.0535782400909217,0.0873303379080014,42164.0,1.0,155547.0,D,caucasian,F,-0.28,5000005000896505.0,,,,,,,42164.0,1.0,155547.0,D,caucasian,F,-0.28,5000005000896505.0,,,,,,,,
666000_2014_2_san diego_CA_Mayor_mayor_1,666000,san diego,2014,2.0,153491.0,2,73768,1.0,0.53,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.98,2966993991.0,0.495020686823631,0.613806925004993,0.0659286387190469,0.293902871438806,0.239020696811145,73768.0,0.53,153491.0,R,caucasian,M,0.98,2966993991.0,73719.0,0.47,136701.0,D,hispanic,M,73768.0,0.53,153491.0,R,caucasian,M,0.98,2966993991.0,73719.0,0.47,136701.0,D,hispanic,M,,
4159000_2000_11_portland_OR_Mayor_mayor_1,4159000,portland,2000,11.0,153052.0,1,42164,1.0,1.0,win,1,1.0,0.0,D,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,-0.28,5000005000896505.0,0.505661275965233,0.779105346414147,0.066364782346571,0.0681469833932125,0.102477505145326,42164.0,1.0,153052.0,D,caucasian,F,-0.28,5000005000896505.0,,,,,,,42164.0,1.0,153052.0,D,caucasian,F,-0.28,5000005000896505.0,,,,,,,,
644000_2009_3_los angeles_CA_Mayor_mayor_1,644000,los angeles,2009,3.0,152613.0,10,69915,1.0,0.56,win,1,1.0,0.0,D,1.0,0.0,M,0.0,0.0,1.0,0.0,0.0,hispanic,-0.1,32373210396.0,0.501871314402543,0.494996930022486,0.0978807825025402,0.482884381285759,0.352774861878979,69915.0,0.56,152613.0,D,hispanic,M,-0.1,32373210396.0,70173.0,0.26,71937.0,R,black,M,69915.0,0.56,152613.0,D,hispanic,M,-0.1,32373210396.0,70173.0,0.26,71937.0,R,black,M,,
1517000_2016_11_honolulu_HI_Mayor_mayor_1,1517000,honolulu,2016,11.0,147941.0,2,7063,1.0,0.52,win,1,1.0,0.0,D,0.95,0.05,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.33,3822461777.0,0.508611434736868,0.196667895398176,0.0162461624562433,0.0436666065754177,0.635970801034287,7063.0,0.52,147941.0,D,caucasian,M,-0.33,3822461777.0,6894.0,0.48,135710.0,R,asian,M,7063.0,0.52,147941.0,D,caucasian,M,-0.33,3822461777.0,6894.0,0.48,135710.0,R,asian,M,,
1517000_1996_11_honolulu_HI_Mayor_mayor_1,1517000,honolulu,1996,11.0,146034.0,2,7059,1.0,0.57,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,2541789539.0,0.507662535298416,0.224800053912508,0.0150270509418464,0.0444920859803368,0.668270756754522,7059.0,0.57,146034.0,D,caucasian,M,,2541789539.0,7047.0,0.43,108746.0,D,asian,M,7059.0,0.57,146034.0,D,caucasian,M,,2541789539.0,7047.0,0.43,108746.0,D,asian,M,,
4835000_1999_11_houston_TX_Mayor_mayor_1,4835000,houston,1999,11.0,139150.0,3,50897,1.0,0.67,win,1,1.0,0.0,D,0.89,0.11,M,1.0,0.0,0.0,0.0,0.0,black,-1.0,35156181618.0,0.500964517652676,0.496141546284282,0.25589275573553,0.364322984472053,0.215443818146258,50897.0,0.67,139150.0,D,black,M,-1.0,35156181618.0,50742.0,0.23,47887.0,D,caucasian,,50897.0,0.67,139150.0,D,black,M,-1.0,35156181618.0,50742.0,0.23,47887.0,D,caucasian,,,
2622000_1997_11_detroit_MI_Mayor_mayor_1,2622000,detroit,1997,11.0,138175.0,2,22812,1.0,0.83,win,1,0.97,0.03,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,,,0.530949133602779,0.150680202156386,0.797882356028193,0.0430176835591648,0.0318411307598291,22812.0,0.83,138175.0,D,black,M,,,22815.0,0.17,27897.0,D,black,M,22812.0,0.83,138175.0,D,black,M,,,22815.0,0.17,27897.0,D,black,M,,3822456319.0
4260000_2011_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,2011,11.0,136532.0,3,43794,1.0,0.75,win,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,-0.75,2847945959.0,0.528135866611956,0.409989926134628,0.432470365212877,0.125331407443687,0.118046268591652,43794.0,0.75,136532.0,D,black,M,-0.75,2847945959.0,43858.0,0.22,39597.0,R,caucasian,F,43794.0,0.75,136532.0,D,black,M,-0.75,2847945959.0,43858.0,0.22,39597.0,R,caucasian,F,0.49,5000033290855842.0
667000_1999_12_san francisco_CA_Mayor_mayor_1,667000,san francisco,1999,12.0,131983.0,2,74208,1.0,0.6,win,1,1.0,0.0,D,0.99,0.01,M,1.0,0.0,0.0,0.0,0.0,black,-0.44,4167384347.0,0.492441582386285,0.500506993018788,0.081036296646384,0.140794186167499,0.375440007048724,74208.0,0.6,131983.0,D,black,M,-0.44,4167384347.0,74128.0,0.4,89428.0,D,caucasian,M,74208.0,0.6,131983.0,D,black,M,-0.44,4167384347.0,74128.0,0.4,89428.0,D,caucasian,M,-0.23,4185394132.0
667000_2019_11_san francisco_CA_Mayor_mayor_1,667000,san francisco,2019,11.0,125200.0,7,74023,1.0,0.71,win,1,1.0,0.0,D,0.09,0.91,F,1.0,0.0,0.0,0.0,0.0,black,-0.55,5000003034021604.0,0.490216697619038,0.466157343053277,0.0529287243505919,0.152251873709078,0.349905651395553,74023.0,0.71,125200.0,D,black,F,-0.55,5000003034021604.0,74165.0,0.14,24667.0,R,asian,F,74023.0,0.71,125200.0,D,black,F,-0.55,5000003034021604.0,74165.0,0.14,24667.0,R,asian,F,1.35,5000035855068129.0
5182000_2012_11_virginia beach_VA_Mayor_mayor_1,5182000,virginia beach,2012,11.0,124133.0,3,55137,1.0,0.69,win,1,0.0,1.0,R,1.0,0.0,M,0.27,0.72,0.0,0.01,0.0,caucasian,0.67,29085828373.0,0.509999270255373,0.674409902286641,0.194992511321308,0.0692866071571693,0.0792271302542176,55137.0,0.69,124133.0,R,caucasian,M,0.67,29085828373.0,55109.0,0.19,34106.0,R,caucasian,M,55137.0,0.69,124133.0,R,caucasian,M,0.67,29085828373.0,55109.0,0.19,34106.0,R,caucasian,M,,110056988.0
2622000_2005_11_detroit_MI_Mayor_mayor_1,2622000,detroit,2005,11.0,123140.0,2,22821,1.0,0.53,win,1,1.0,0.0,D,0.97,0.03,M,1.0,0.0,0.0,0.0,0.0,black,-0.22,29185925461.0,0.527813881726141,0.114354360389404,0.821208608297694,0.0588911801198149,0.0382171196204226,22821.0,0.53,123140.0,D,black,M,-0.22,29185925461.0,22816.0,0.47,108600.0,D,black,M,22821.0,0.53,123140.0,D,black,M,-0.22,29185925461.0,22816.0,0.47,108600.0,D,black,M,,
3918000_2011_11_columbus_OH_Mayor_mayor_1,3918000,columbus,2011,11.0,122475.0,3,40286,1.0,0.7,win,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,,,0.511650325260949,0.611737104895286,0.280842383862848,0.0568954302894796,0.0686274422715178,40286.0,0.7,122475.0,D,black,M,,,40346.0,0.3,52801.0,R,black,M,40286.0,0.7,122475.0,D,black,M,,,40346.0,0.3,52801.0,R,black,M,,
668000_2018_6_san jose_CA_Mayor_mayor_1,668000,san jose,2018,6.0,120846.0,4,74303,1.0,0.76,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.33,3262149579.0,0.49564419740138,0.404803065906778,0.0303802710554103,0.319188144502536,0.383682058871945,74303.0,0.76,120846.0,D,caucasian,M,-0.33,3262149579.0,74300.0,0.14,22764.0,R,caucasian,M,74303.0,0.76,120846.0,D,caucasian,M,-0.33,3262149579.0,74300.0,0.14,22764.0,R,caucasian,M,1.08,35809570977.0
5363000_1993_11_seattle_WA_Mayor_mayor_1,5363000,seattle,1993,11.0,119695.0,2,56261,1.0,0.65,win,1,1.0,0.0,D,0.97,0.03,M,1.0,0.0,0.0,0.0,0.0,black,-0.76,4079315949.0,0.508634302630441,0.737536630005694,0.0957526029207671,0.0407051102190352,0.140372470509587,56261.0,0.65,119695.0,D,black,M,-0.76,4079315949.0,56253.0,0.35,63461.0,,caucasian,M,56261.0,0.65,119695.0,D,black,M,-0.76,4079315949.0,56253.0,0.35,63461.0,,caucasian,M,,
