,geo_name,year,votes,vote_share,incumbent,winner,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,contributor.cfscore,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,candidate_count,cpi_prevYear,unemployment_prevYear,pid_est_knn,gender_est_knn,race_est_knn
2577,Alameda,2010,5870.0,0.23,0.0,0,0.89,0.11,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.521554760743511,0.50750555465236,0.0644746111743348,0.109629870481764,0.350918549829296,5,214.56466666666668,9.3,0.0,1.0,2.0
3535,Alameda,2010,2977.0,0.12,0.0,0,0.99,0.01,Democrat,1.0,0.0,Male,0.0,0.0,0.0,1.0,0.0,Asian,-0.45,0.521554760743511,0.50750555465236,0.0644746111743348,0.109629870481764,0.350918549829296,5,214.56466666666668,9.3,0.0,1.0,0.0
4464,Alameda,2010,882.0,0.04,1.0,0,0.92,0.08,Democrat,1.0,0.0,Male,0.03,0.91,0.06,0.01,0.0,Caucasian,-0.3620114576702737,0.521554760743511,0.50750555465236,0.0644746111743348,0.109629870481764,0.350918549829296,5,214.56466666666668,9.3,0.0,1.0,2.0
1571,Alameda,2014,10488.0,0.5,0.0,1,0.19,0.81,Republican,0.0,1.0,Female,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.518139040700201,0.497478549928015,0.0681134618473634,0.116978859605989,0.331867448890981,2,232.95175,7.4,1.0,0.0,2.0
1588,Alameda,2014,10368.0,0.5,1.0,0,0.83,0.17,Democrat,0.0,1.0,Female,1.0,0.0,0.0,0.0,0.0,Black,-0.3620114576702737,0.518139040700201,0.497478549928015,0.0681134618473634,0.116978859605989,0.331867448890981,2,232.95175,7.4,0.0,0.0,1.0
1259,Alameda,2018,13260.0,0.42,0.0,1,0.78,0.22,Democrat,0.02,0.98,Female,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.514723320656891,0.487451545203669,0.071752312520392,0.124327848730213,0.312816347952665,3,245.121,4.4,0.0,0.0,2.0
1393,Alameda,2018,11835.0,0.38,1.0,0,0.19,0.81,Republican,0.0,1.0,Female,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.514723320656891,0.487451545203669,0.071752312520392,0.124327848730213,0.312816347952665,3,245.121,4.4,1.0,0.0,2.0
2456,Alameda,2018,6321.0,0.2,0.0,0,0.95,0.05,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.11,0.514723320656891,0.487451545203669,0.071752312520392,0.124327848730213,0.312816347952665,3,245.121,4.4,0.0,1.0,2.0
1010,Albany,1997,16375.0,0.79,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.52779675004701,0.668384933453204,0.258893710527536,0.0485893561849585,0.0488483824736603,2,156.85833333333332,5.4,0.0,1.0,2.0
3030,Albany,1997,4462.0,0.21,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.0,0.99,0.01,0.0,0.0,Caucasian,0.0,0.52779675004701,0.668384933453204,0.258893710527536,0.0485893561849585,0.0488483824736603,2,156.85833333333332,5.4,0.0,1.0,2.0
1157,Albany,2001,14478.0,0.81,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.523867171929065,0.625119724325402,0.283999960213271,0.0589061161703973,0.0572396418694961,4,172.1916666666667,4.0,0.0,1.0,2.0
3726,Albany,2001,2417.0,0.13,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.523867171929065,0.625119724325402,0.283999960213271,0.0589061161703973,0.0572396418694961,4,172.1916666666667,4.0,1.0,1.0,2.0
4507,Albany,2001,806.0,0.04,0.0,0,0.85,0.15,Democrat,0.02,0.98,Female,0.06,0.94,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.523867171929065,0.625119724325402,0.283999960213271,0.0589061161703973,0.0572396418694961,4,172.1916666666667,4.0,0.0,0.0,2.0
4870,Albany,2001,265.0,0.01,0.0,0,0.14,0.86,Republican,1.0,0.0,Male,0.02,0.96,0.02,0.0,0.0,Caucasian,0.31,0.523867171929065,0.625119724325402,0.283999960213271,0.0589061161703973,0.0572396418694961,4,172.1916666666667,4.0,1.0,1.0,2.0
1086,Albany,2005,15367.0,0.69,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.520567330092123,0.600645141520798,0.294531988651294,0.0708587499544137,0.0683387516962646,3,188.9083333333333,5.5,0.0,1.0,2.0
2681,Albany,2005,5548.0,0.25,0.0,0,0.98,0.02,Democrat,0.0,1.0,Female,0.94,0.06,0.0,0.0,0.0,Black,-0.71,0.520567330092123,0.600645141520798,0.294531988651294,0.0708587499544137,0.0683387516962646,3,188.9083333333333,5.5,0.0,0.0,1.0
4175,Albany,2005,1465.0,0.07,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.520567330092123,0.600645141520798,0.294531988651294,0.0708587499544137,0.0683387516962646,3,188.9083333333333,5.5,1.0,1.0,2.0
1575,Albany,2009,10466.0,0.64,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.517267488255181,0.576170558716194,0.305064017089317,0.0828113837384302,0.0794378615230332,3,215.25425,5.8,0.0,1.0,2.0
2906,Albany,2009,4801.0,0.29,0.0,0,1.0,0.0,Democrat,0.99,0.01,Male,1.0,0.0,0.0,0.0,0.0,Black,-0.3620114576702737,0.517267488255181,0.576170558716194,0.305064017089317,0.0828113837384302,0.0794378615230332,3,215.25425,5.8,0.0,1.0,1.0
4305,Albany,2009,1178.0,0.07,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.05,0.19,0.73,0.02,0.0,Hispanic,0.57,0.517267488255181,0.576170558716194,0.305064017089317,0.0828113837384302,0.0794378615230332,3,215.25425,5.8,1.0,1.0,3.0
1428,Albany,2017,11520.0,0.71,1.0,1,1.0,0.0,Democrat,0.0,1.0,Female,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.43,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,4,240.00541666666663,4.9,0.0,0.0,2.0
3289,Albany,2017,3687.0,0.23,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.04,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,4,240.00541666666663,4.9,0.0,1.0,2.0
4570,Albany,2017,709.0,0.04,0.0,0,0.72,0.28,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,4,240.00541666666663,4.9,0.0,1.0,2.0
4787,Albany,2017,374.0,0.02,0.0,0,0.93,0.07,Democrat,1.0,0.0,Male,0.01,0.07,0.92,0.0,0.0,Hispanic,-0.3620114576702737,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,4,240.00541666666663,4.9,0.0,1.0,3.0
1837,Albany,2021,8837.0,0.65,1.0,1,1.0,0.0,Democrat,0.0,1.0,Female,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.43,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,3,258.85574999999994,8.1,0.0,0.0,2.0
3738,Albany,2021,2385.0,0.18,0.0,0,0.0,1.0,Republican,0.02,0.98,Female,0.01,0.98,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,3,258.85574999999994,8.1,1.0,0.0,2.0
3741,Albany,2021,2374.0,0.17,0.0,0,0.5732651225545311,0.42673487744546884,Unknown,1.0,0.0,Male,0.01,0.97,0.02,0.0,0.0,Caucasian,-0.14590909090909085,0.526698695268142,0.556124008628245,0.294880969628592,0.0961506220061582,0.0729208343086614,3,258.85574999999994,8.1,0.4171351472903081,1.0,2.0
452,Albuquerque,2001,30384.0,0.31,1.0,1,1.0,0.0,Democrat,0.99,0.01,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.61,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.0,1.0,2.0
519,Albuquerque,2001,27601.0,0.28,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.0,0.99,0.0,0.0,0.0,Caucasian,-0.9,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,1.0,1.0,2.0
1479,Albuquerque,2001,11176.0,0.11,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.97,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,1.0,1.0,2.0
1501,Albuquerque,2001,10998.0,0.11,1.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.95,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.0,1.0,2.0
1681,Albuquerque,2001,9737.0,0.1,0.0,0,0.95,0.05,Democrat,1.0,0.0,Male,0.0,0.99,0.01,0.0,0.0,Caucasian,-0.68,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.0,1.0,2.0
2334,Albuquerque,2001,6745.0,0.07,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.09,0.9,0.01,0.0,0.0,Caucasian,-0.61,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.0,1.0,2.0
3678,Albuquerque,2001,2560.0,0.03,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.0,0.0,1.0,0.0,0.0,Hispanic,-0.21,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.0,1.0,3.0
5008,Albuquerque,2001,139.0,0.0,0.0,0,0.5732651225545311,0.42673487744546884,Unknown,0.8055726738293127,0.1944273261706872,Unknown,0.07,0.61,0.18,0.13,0.0,Caucasian,-0.14590909090909085,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.4171351472903081,0.8053922562335293,2.0
5071,Albuquerque,2001,88.0,0.0,0.0,0,0.5732651225545311,0.42673487744546884,Unknown,1.0,0.0,Male,0.02,0.98,0.01,0.0,0.0,Caucasian,-0.14590909090909085,0.514305471380269,0.714069695526012,0.0310793607501884,0.40598815146729,0.171893580121488,9,172.1916666666667,4.0,0.4171351472903081,1.0,2.0
289,Albuquerque,2005,41023.0,0.47,1.0,1,1.0,0.0,Democrat,0.99,0.01,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.61,0.514314696376656,0.706559013800917,0.0318677460233542,0.433220242498295,0.174574441521872,4,188.9083333333333,5.5,0.0,1.0,2.0
673,Albuquerque,2005,22523.0,0.26,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.0,0.0,1.0,0.0,0.0,Hispanic,-0.3620114576702737,0.514314696376656,0.706559013800917,0.0318677460233542,0.433220242498295,0.174574441521872,4,188.9083333333333,5.5,0.0,1.0,3.0
720,Albuquerque,2005,21352.0,0.25,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.000675990675990676,Caucasian,1.04,0.514314696376656,0.706559013800917,0.0318677460233542,0.433220242498295,0.174574441521872,4,188.9083333333333,5.5,1.0,1.0,2.0
3984,Albuquerque,2005,1859.0,0.02,0.0,0,1.0,0.0,Democrat,0.99,0.01,Male,0.01,0.99,0.0,0.0,0.0,Caucasian,-1.0,0.514314696376656,0.706559013800917,0.0318677460233542,0.433220242498295,0.174574441521872,4,188.9083333333333,5.5,0.0,1.0,2.0
354,Albuquerque,2009,36466.0,0.44,0.0,1,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.91,0.514323921373043,0.699048332075822,0.0326561312965199,0.460452333529301,0.177255302922256,3,215.25425,5.8,1.0,1.0,2.0
475,Albuquerque,2009,29140.0,0.35,1.0,0,1.0,0.0,Democrat,0.99,0.01,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.61,0.514323921373043,0.699048332075822,0.0326561312965199,0.460452333529301,0.177255302922256,3,215.25425,5.8,0.0,1.0,2.0
925,Albuquerque,2009,17458.0,0.21,0.0,0,1.0,0.0,Democrat,0.99,0.01,Male,0.01,0.24,0.73,0.01,0.0,Hispanic,-0.3,0.514323921373043,0.699048332075822,0.0326561312965199,0.460452333529301,0.177255302922256,3,215.25425,5.8,0.0,1.0,3.0
240,Albuquerque,2013,48009.0,0.68,1.0,1,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.91,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466,3,229.5860833333333,8.1,1.0,1.0,2.0
769,Albuquerque,2013,20248.0,0.29,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.0,0.99,0.01,0.0,0.0,Caucasian,-0.46,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466,3,229.5860833333333,8.1,0.0,1.0,2.0
3821,Albuquerque,2013,2217.0,0.03,0.0,0,0.42,0.58,Republican,1.0,0.0,Male,0.03,0.79,0.1,0.08,0.0,Caucasian,0.36,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466,3,229.5860833333333,8.1,1.0,1.0,2.0
151,Albuquerque,2021,66251.0,0.56,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.29,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466,3,258.85574999999994,8.1,0.0,1.0,2.0
455,Albuquerque,2021,30337.0,0.26,0.0,0,1.0,0.0,Democrat,1.0,0.0,Male,0.01,0.08,0.89,0.01,0.0,Hispanic,0.17,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466,3,258.85574999999994,8.1,0.0,1.0,3.0
699,Albuquerque,2021,21815.0,0.18,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.03,0.23,0.72,0.02,0.0,Hispanic,0.23,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466,3,258.85574999999994,8.1,1.0,1.0,3.0
1601,Alexandria,2000,10269.0,0.61,1.0,1,1.0,0.0,Democrat,0.92,0.08,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.55,0.516896237225509,0.597912427991238,0.225400091984129,0.14719019667454,0.13117872204423,3,166.58333333333334,4.2,0.0,1.0,2.0
2491,Alexandria,2000,6223.0,0.37,0.0,0,0.63,0.37,Democrat,1.0,0.0,Male,0.22,0.76,0.02,0.0,0.0,Caucasian,-0.3620114576702737,0.516896237225509,0.597912427991238,0.225400091984129,0.14719019667454,0.13117872204423,3,166.58333333333334,4.2,0.0,1.0,2.0
4781,Alexandria,2000,379.0,0.02,0.0,0,0.63,0.37,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.516896237225509,0.597912427991238,0.225400091984129,0.14719019667454,0.13117872204423,3,166.58333333333334,4.2,0.0,1.0,2.0
324,Alexandria,2012,38545.0,0.6,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,Black,-0.3620114576702737,0.519171973712192,0.611272185210408,0.217784442509613,0.162124138873815,0.117372751977173,2,224.923,8.9,0.0,1.0,1.0
559,Alexandria,2012,25988.0,0.4,0.0,0,1.0,0.0,Democrat,0.98,0.02,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.82,0.519171973712192,0.611272185210408,0.217784442509613,0.162124138873815,0.117372751977173,2,224.923,8.9,0.0,1.0,2.0
986,Alexandria,2015,16610.0,0.64,0.0,1,1.0,0.0,Democrat,0.0,1.0,Female,0.01,0.94,0.05,0.0,0.0,Caucasian,-0.3620114576702737,0.518769280978963,0.615251608875728,0.217692462460535,0.163923153151702,0.0954373669897876,2,236.715,6.2,0.0,0.0,2.0
1783,Alexandria,2015,9170.0,0.36,1.0,0,1.0,0.0,Democrat,1.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,Black,-0.3620114576702737,0.518769280978963,0.615251608875728,0.217692462460535,0.163923153151702,0.0954373669897876,2,236.715,6.2,0.0,1.0,1.0
359,Alexandria,2021,36276.0,0.69,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.000675990675990676,Caucasian,-0.73,0.518769280978963,0.615251608875728,0.217692462460535,0.163923153151702,0.0954373669897876,2,258.85574999999994,8.1,0.0,1.0,2.0
992,Alexandria,2021,16584.0,0.31,0.0,0,0.0,1.0,Republican,0.02,0.98,Female,0.9,0.1,0.0,0.0,0.0,Black,0.8224900398406375,0.518769280978963,0.615251608875728,0.217692462460535,0.163923153151702,0.0954373669897876,2,258.85574999999994,8.1,1.0,0.0,1.0
4207,Allen,2002,1391.0,0.51,1.0,1,0.03,0.97,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,1.38,0.50243112606379,0.841141896658909,0.051961279292225,0.0782196744799652,0.0817376892788707,2,177.04166666666666,4.7,1.0,1.0,2.0
4222,Allen,2002,1350.0,0.49,0.0,0,0.04,0.96,Republican,1.0,0.0,Male,0.0,0.98,0.01,0.0,0.0,Caucasian,0.8224900398406375,0.50243112606379,0.841141896658909,0.051961279292225,0.0782196744799652,0.0817376892788707,2,177.04166666666666,4.7,1.0,1.0,2.0
1567,Allentown,1997,10498.0,0.55,1.0,1,0.05,0.95,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.93,0.523110956768201,0.766359316046199,0.0698760423929099,0.206099758292127,0.13604295612817,2,156.85833333333332,5.4,1.0,1.0,2.0
1860,Allentown,1997,8734.0,0.45,0.0,0,1.0,0.0,Democrat,0.99,0.01,Male,0.0,0.0,1.0,0.0,0.0,Hispanic,-0.3620114576702737,0.523110956768201,0.766359316046199,0.0698760423929099,0.206099758292127,0.13604295612817,2,156.85833333333332,5.4,0.0,1.0,3.0
2038,Allentown,2009,7908.0,0.74,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.12,0.518508241248455,0.599143151716968,0.120791679011824,0.409205007246001,0.224284685871322,2,215.25425,5.8,0.0,1.0,2.0
3589,Allentown,2009,2837.0,0.26,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,Black,0.8224900398406375,0.518508241248455,0.599143151716968,0.120791679011824,0.409205007246001,0.224284685871322,2,215.25425,5.8,1.0,1.0,1.0
2586,Allentown,2013,5846.0,0.62,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.12,0.516098575060467,0.596403245770015,0.132069256738435,0.456817412373495,0.17081651584434,2,229.5860833333333,8.1,0.0,1.0,2.0
3312,Allentown,2013,3602.0,0.38,0.0,0,1.0,0.0,Democrat,0.8055726738293127,0.1944273261706872,Unknown,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.516098575060467,0.596403245770015,0.132069256738435,0.456817412373495,0.17081651584434,2,229.5860833333333,8.1,0.0,0.8053922562335293,2.0
2915,Allentown,2017,4758.0,0.48,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.12,0.513310031970876,0.611468854020054,0.140839742836566,0.49588108795603,0.0895822177798516,4,240.00541666666663,4.9,0.0,1.0,2.0
3036,Allentown,2017,4440.0,0.45,0.0,0,0.0,1.0,Republican,0.99,0.01,Male,0.04,0.95,0.01,0.0,0.0,Caucasian,0.8224900398406375,0.513310031970876,0.611468854020054,0.140839742836566,0.49588108795603,0.0895822177798516,4,240.00541666666663,4.9,1.0,1.0,2.0
4689,Allentown,2017,489.0,0.05,0.0,0,1.0,0.0,Democrat,0.99,0.01,Male,0.08,0.92,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.513310031970876,0.611468854020054,0.140839742836566,0.49588108795603,0.0895822177798516,4,240.00541666666663,4.9,0.0,1.0,2.0
4941,Allentown,2017,200.0,0.02,0.0,0,0.92,0.08,Democrat,0.99,0.01,Male,0.83,0.12,0.04,0.01,0.0,Black,-0.3620114576702737,0.513310031970876,0.611468854020054,0.140839742836566,0.49588108795603,0.0895822177798516,4,240.00541666666663,4.9,0.0,1.0,1.0
1996,Allentown,2019,8067.0,0.67,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.15,0.51191576042608,0.619001658145074,0.145224985885631,0.515412925747297,0.0489650687476071,2,251.09949999999995,3.9,0.0,1.0,2.0
3185,Allentown,2019,4001.0,0.33,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.35,0.14,0.48,0.03,0.0,Hispanic,0.8224900398406375,0.51191576042608,0.619001658145074,0.145224985885631,0.515412925747297,0.0489650687476071,2,251.09949999999995,3.9,1.0,1.0,3.0
3840,Alpharetta,1999,2188.0,0.64,1.0,1,0.0,1.0,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,1.15,0.505529640433776,0.847927430632982,0.0608078860916004,0.0516048645296277,0.0758220427123398,2,163.00833333333335,4.5,1.0,1.0,2.0
4273,Alpharetta,1999,1232.0,0.36,0.0,0,0.5732651225545311,0.42673487744546884,Unknown,0.8055726738293127,0.1944273261706872,Unknown,0.14,0.82,0.03,0.01,0.0,Caucasian,-0.14590909090909085,0.505529640433776,0.847927430632982,0.0608078860916004,0.0516048645296277,0.0758220427123398,2,163.00833333333335,4.5,0.4171351472903081,0.8053922562335293,2.0
1808,Amarillo,1995,9018.0,0.89,1.0,1,0.06,0.94,Republican,0.97,0.03,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.520335748781988,0.801038951375469,0.0597778707513226,0.182972755947816,0.119821020726622,2,148.225,6.1,1.0,1.0,2.0
4352,Amarillo,1995,1080.0,0.11,0.0,0,0.06,0.94,Republican,1.0,0.0,Male,0.1,0.9,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.520335748781988,0.801038951375469,0.0597778707513226,0.182972755947816,0.119821020726622,2,148.225,6.1,1.0,1.0,2.0
2750,Amarillo,1997,5330.0,0.85,1.0,1,0.06,0.94,Republican,0.97,0.03,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.520134547232067,0.790628151187783,0.0597293705412403,0.197205540717578,0.125547861907542,2,156.85833333333332,5.4,1.0,1.0,2.0
4449,Amarillo,1997,911.0,0.15,0.0,0,0.06,0.94,Republican,1.0,0.0,Male,0.1,0.9,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.520134547232067,0.790628151187783,0.0597293705412403,0.197205540717578,0.125547861907542,2,156.85833333333332,5.4,1.0,1.0,2.0
2855,Amarillo,1999,4974.0,0.86,1.0,1,0.06,0.94,Republican,0.97,0.03,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.519933345682147,0.780217351000096,0.059680870331158,0.211438325487339,0.131274703088461,2,163.00833333333335,4.5,1.0,1.0,2.0
4489,Amarillo,1999,834.0,0.14,0.0,0,0.03,0.97,Republican,0.03,0.97,Female,0.01,0.98,0.0,0.0,0.0,Caucasian,0.8224900398406375,0.519933345682147,0.780217351000096,0.059680870331158,0.211438325487339,0.131274703088461,2,163.00833333333335,4.5,1.0,0.0,2.0
